57 306 764 634 132 246 236 470 1537 608 835 971 407 837 434 77 170 349 387 283 876 2266 4912 
58 309 781 659 131 244 275 490 1568 622 824 981 413 835 427 76 180 350 386 280 892 2188 4808 
59 306 780 680 134 237 315 497 1592 623 838 984 416 800 433 98 181 348 393 271 905 2171 4710 
60 301 807 689 137 242 332 511 1594 624 819 1013 427 763 471 99 186 360 402 274 904 2120 4784 
61 308 821 683 157 244 329 522 1608 608 816 1020 426 783 475 98 183 354 399 289 873 2188 4867 
62 311 839 696 161 245 358 540 1637 620 817 1026 435 792 484 104 196 353 395 277 858 2238 4892 
63 307 845 703 172 241 375 553 1683 614 800 1034 435 789 477 107 196 352 399 275 832 2264 4953 
64 314 847 727 163 252 389 547 1716 600 788 1065 429 801 479 108 195 349 400 272 823 2282 5023 
65 316 843 728 166 254 389 565 1750 609 795 1092 440 789 490 105 203 353 409 239 823 2293 5066 
66 313 841 739 167 262 391 574 1764 625 813 1147 432 807 484 103 203 359 418 238 829 2276 5093 
67 318 861 756 158 263 397 585 1785 637 824 1160 434 808 479 99 200 366 420 252 797 2297 5132 
68 314 872 762 164 269 399 578 1840 579 886 1155 440 806 483 111 197 374 422 246 836 2270 5219 
69 315 894 778 163 267 403 588 1894 604 910 1180 464 791 476 116 199 382 437 239 820 2327 5089 
70 319 902 797 163 264 406 600 1986 565 931 1182 471 816 476 119 196 378 443 235 805 2374 5030 
71 300 932 824 165 256 404 653 2013 589 945 1213 470 827 475 119 204 384 439 233 811 2376 4870 
72 298 950 890 166 257 415 674 2096 605 988 1266 473 829 470 119 222 382 438 229 772 2403 4710 
73 293 965 909 168 257 415 682 2141 630 997 1224 452 833 469 137 221 374 443 223 849 2309 4720 
74 301 964 922 169 251 420 690 2184 645 952 1256 464 838 461 135 222 368 450 221 863 2277 4803 
75 305 957 939 172 242 436 680 2102 711 944 1261 472 833 462 139 225 382 455 218 943 2178 4853 
76 304 965 939 175 250 437 683 2040 742 935 1272 471 837 465 138 224 387 441 250 955 2123 4887 
77 315 963 906 175 256 486 694 2015 726 938 1274 484 837 473 136 228 382 430 256 909 2151 4944 
78 319 975 915 176 268 492 709 2032 742 939 1290 490 855 477 137 231 400 412 241 909 2164 5013 
79 315 989 924 179 270 501 720 1997 746 922 1314 493 855 474 134 239 428 390 248 906 2185 5101 
80 319 989 915 178 277 521 799 1945 753 920 1329 495 871 465 135 241 429 391 243 886 2202 5152 
81 312 1010 923 184 276 528 806 1953 769 908 1370 508 890 465 129 247 430 396 245 919 2179 5234 
82 315 1037 971 188 286 526 834 1911 836 857 1478 474 869 478 146 247 474 388 249 918 2202 5128 
83 322 1028 1017 189 284 530 875 1948 850 874 1533 482 844 501 147 242 477 397 233 907 2217 5030 
84 316 1019 1052 186 273 560 948 1982 845 948 1561 486 841 495 146 243 482 406 238 888 2247 4917 
85 321 1019 1075 150 313 572 946 2056 854 1018 1558 493 789 530 143 247 488 412 224 855 2271 4835 
86 328 1017 1090 152 319 597 971 2105 866 992 1624 506 798 524 144 253 485 416 230 865 2273 4699 
87 320 995 1096 151 325 611 934 2199 855 1012 1618 510 835 483 147 240 498 415 237 861 2294 4753 
88 317 1003 1109 151 320 617 908 2290 831 1016 1626 502 855 472 148 243 500 423 239 841 2333 4852 
89 319 1016 1120 144 332 678 849 2234 848 980 1675 481 884 466 155 237 526 439 242 837 2367 4930 
90 316 1027 1164 148 353 667 873 2156 842 965 1690 458 907 465 156 239 575 442 243 827 2377 5033 
91 316 1051 1193 149 354 664 851 2134 850 949 1737 477 876 451 163 238 606 452 250 817 2363 5074 
92 321 1055 1204 153 354 677 825 2108 842 930 1774 479 817 465 159 236 603 442 252 811 2328 5134 
93 326 1064 1234 151 359 682 813 2170 825 960 1735 491 810 470 153 231 617 430 261 805 2325 5175 
94 334 1056 1297 154 365 692 797 2179 821 982 1699 515 795 464 162 227 633 420 251 836 2256 5241 
95 336 1067 1318 150 352 707 781 2242 801 955 1648 539 808 453 166 228 636 414 251 843 2232 5321 
96 344 1074 1346 152 367 719 805 2273 802 970 1606 548 836 450 173 243 644 417 249 909 2133 5260 
97 335 1080 1375 159 373 725 800 2323 842 967 1583 554 856 422 188 249 645 438 221 905 2133 5160 
98 333 1097 1397 158 373 729 785 2307 846 969 1611 570 866 423 198 251 662 438 224 882 2169 5046 
99 324 1105 1417 152 367 760 772 2357 886 924 1662 570 881 437 207 246 689 441 228 884 2167 4901 
